2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
1416,232
3000,540
2104,400
1600,330
2400,369
1416,232
3000,540
